d w z t
31 43 0 1
31 38 1 2
31 2 0 1
31 10 1 2
31 3 4 0
156 38 1 0
156 43 1 0
156 36 1 1
156 39 1 0
156 20 1 0
156 13 1 2
156 4 1 1
69 43 0 0
69 36 1 1
122 22 1 0
122 43 1 0
122 22 1 0
122 34 1 0
122 34 1 0
122 36 1 0
122 14 4 1
122 34 1 0
122 20 1 0
122 22 1 0
180 10 0 0
180 36 1 1
180 29 1 2
180 37 1 2
180 43 0 3
65 43 2 0
65 40 2 0
65 25 2 1
7 34 1 0
7 18 1 0
7 39 1 0
7 32 1 0
7 10 1 0
7 39 1 0
7 22 1 0
7 43 1 0
7 29 1 0
106 16 0 0
106 43 0 0
34 9 0 0
34 11 0 1
34 43 0 1
101 37 1 1
101 34 0 0
101 43 1 1
52 43 0 1
52 25 0 0
52 9 0 2
166 35 2 0
166 21 2 0
166 43 2 0
166 21 2 0
166 21 2 0
166 35 2 0
67 43 0 0
191 43 2 0
191 6 2 0
70 43 0 0
59 43 2 0
59 28 2 0
186 9 0 0
186 8 0 0
186 43 0 1
95 35 0 0
95 24 0 0
95 41 0 0
95 41 0 0
95 43 0 0
95 9 0 0
15 43 0 0
15 9 0 0
15 42 0 0
15 23 0 0
15 12 0 0
15 34 0 0
183 18 0 0
183 43 0 0
10 43 0 1
10 12 0 0
10 9 0 1
10 9 0 1
37 25 0 0
37 10 0 1
37 43 0 0
19 14 1 0
19 22 1 0
19 22 1 0
19 34 1 0
19 36 1 0
19 34 1 0
19 20 1 0
19 43 1 0
19 34 1 0
19 22 1 0
18 19 0 0
18 8 0 0
18 9 0 0
18 43 0 0
49 30 4 0
49 43 0 1
60 28 2 0
60 43 2 0
60 5 2 0
60 6 2 0
43 14 4 0
43 26 4 0
43 43 4 0
43 14 4 0
43 8 0 1
43 9 0 1
195 43 2 0
195 9 0 1
179 17 0 0
179 43 0 0
81 8 0 0
81 9 0 0
81 9 0 1
81 30 0 0
81 43 0 0
39 2 4 0
39 3 4 0
39 30 4 0
39 43 4 0
39 30 4 0
39 23 4 0
39 23 4 0
192 43 0 0
192 35 2 1
192 21 2 1
130 2 4 0
130 30 4 0
130 43 1 1
130 30 4 0
130 34 1 1
200 17 0 1
200 27 0 0
200 24 0 0
200 43 0 0
200 17 0 1
150 34 0 1
150 18 0 0
150 8 0 0
150 2 0 0
150 11 0 0
150 43 0 2
27 34 0 1
27 43 4 0
27 30 4 0
27 2 4 0
27 30 4 0
51 41 0 0
51 43 0 0
66 9 0 1
66 43 1 0
66 34 1 0
184 9 0 1
184 9 0 0
184 43 0 1
184 8 0 0
184 30 0 0
50 43 0 0
32 7 0 1
32 36 1 0
32 15 1 0
32 43 1 0
32 3 0 1
155 43 0 0
155 9 0 0
155 25 0 1
