time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00159 0005 00403 -3799.82623 0.10000 1.00000 0 0 0
    0.00 00160 0005 00388 -3790.10646 0.10000 1.00000 0 0 0
    0.00 00161 0005 00395 -3828.24113 0.10000 1.00000 0 0 0
    0.00 00162 0005 00385 -3749.73818 0.10000 1.00000 0 0 0
    0.00 00163 0005 00375 -3728.28312 0.10000 1.00000 0 0 0
    0.00 00164 0005 00382 -3793.82788 0.10000 1.00000 0 0 0
    0.00 00165 0005 00395 -3817.29724 0.10000 1.00000 0 0 0
    0.00 00166 0005 00390 -3733.01522 0.10000 1.00000 0 0 0
    0.00 00167 0005 00403 -3830.53431 0.10000 1.00000 0 0 0
    0.00 00168 0005 00403 -3800.99711 0.10000 1.00000 0 0 0
    0.00 00169 0005 00403 -3812.49632 0.10000 1.00000 0 0 0
    0.00 00170 0005 00376 -3720.68658 0.10000 1.00000 0 0 0
    0.00 00171 0005 00387 -3765.28544 0.10000 1.00000 0 0 0
    0.00 00172 0005 00382 -3752.10373 0.10000 1.00000 0 0 0
    0.00 00173 0005 00389 -3820.56460 0.10000 1.00000 0 0 0
    0.00 00174 0005 00382 -3721.00110 0.10000 1.00000 0 0 0
    0.00 00175 0006 00397 -3829.42342 0.10000 1.00000 0 0 0
    0.00 00176 0007 00382 -3782.32411 0.10000 1.00000 0 0 0
    0.00 00177 0005 00367 -3735.74047 0.10000 1.00000 0 0 0
    0.00 00178 0005 00374 -3721.43061 0.10000 1.00000 0 0 0
    0.00 00179 0005 00374 -3680.73067 0.10000 1.00000 0 0 0
    0.00 00180 0005 00394 -3800.36115 0.10000 1.00000 0 0 0
    0.00 00181 0005 00372 -3727.39819 0.10000 1.00000 0 0 0
    0.00 00182 0005 00363 -3685.16428 0.10000 1.00000 0 0 0
    0.00 00183 0005 00388 -3768.37078 0.10000 1.00000 0 0 0
    0.00 00184 0006 00380 -3791.33872 0.10000 1.00000 0 0 0
    0.00 00185 0005 00383 -3794.95349 0.10000 1.00000 0 0 0
    0.00 00186 0005 00373 -3811.14801 0.10000 1.00000 0 0 0
    0.00 00187 0005 00392 -3809.17669 0.10000 1.00000 0 0 0
    0.00 00188 0005 00395 -3824.72380 0.10000 1.00000 0 0 0
    0.00 00189 0005 00377 -3785.48021 0.10000 1.00000 0 0 0
    0.00 00190 0005 00377 -3775.06830 0.10000 1.00000 0 0 0
    0.00 00191 0005 00387 -3787.56144 0.10000 1.00000 0 0 0
    0.00 00192 0005 00374 -3779.71159 0.10000 1.00000 0 0 0
    0.00 00193 0005 00376 -3711.49920 0.10000 1.00000 0 0 0
    0.00 00194 0005 00374 -3761.07857 0.10000 1.00000 0 0 0
    0.00 00195 0005 00372 -3700.88802 0.10000 1.00000 0 0 0
    0.00 00196 0005 00384 -3737.44934 0.10000 1.00000 0 0 0
    0.00 00197 0005 00391 -3773.59663 0.10000 1.00000 0 0 0
